id,title,complete
607,Send email,0
608,Prepare presentation,0
609,Research topic,1
610,Write blog post,1
611,Finish report,1
612,Schedule meeting,1
613,Call client,0
614,Buy groceries,1
615,Prepare presentation,0
616,Call client,1
617,Finish report,1
618,Write blog post,0
619,Buy groceries,0
620,Update website,1
621,Research topic,0
622,Schedule meeting,0
623,Send email,0
624,Research topic,0
625,Schedule meeting,0
626,Call client,0
627,Buy groceries,1
628,Schedule meeting,0
629,Buy groceries,1
630,Finish report,1
631,Schedule meeting,1
632,Research topic,0
633,Research topic,1
634,Update website,1
635,Research topic,0
636,Buy groceries,0
637,Research topic,0
638,Send email,1
639,Schedule meeting,0
640,Research topic,0
641,Call client,0
642,Research topic,1
643,Attend conference,0
644,Buy groceries,0
645,Update website,0
646,Prepare presentation,0
647,Schedule meeting,1
648,Send email,0
649,Update website,0
650,Call client,0
651,Research topic,0
652,Schedule meeting,0
653,Prepare presentation,1
654,Prepare presentation,1
655,Schedule meeting,0
656,Buy groceries,0
657,Finish report,1
658,Schedule meeting,0
659,Write blog post,0
660,Call client,0
661,Prepare presentation,0
662,Send email,1
663,Attend conference,1
664,Attend conference,1
665,Call client,0
666,Finish report,0
667,Finish report,0
668,Buy groceries,0
669,Write blog post,0
670,Write blog post,0
671,Send email,0
672,Write blog post,0
673,Buy groceries,1
674,Research topic,0
675,Research topic,0
676,Write blog post,1
677,Prepare presentation,0
678,Attend conference,0
679,Schedule meeting,1
680,Buy groceries,1
681,Prepare presentation,1
682,Schedule meeting,1
683,Attend conference,1
684,Prepare presentation,0
685,Attend conference,0
686,Research topic,0
687,Buy groceries,0
688,Buy groceries,0
689,Call client,1
690,Attend conference,1
691,Send email,0
692,Call client,1
693,Prepare presentation,1
694,Buy groceries,1
695,Send email,1
696,Research topic,0
697,Prepare presentation,0
698,Call client,0
699,Attend conference,0
700,Prepare presentation,0
701,Schedule meeting,0
702,Send email,1
703,Prepare presentation,0
704,Buy groceries,1
705,Call client,1
706,Schedule meeting,0
707,Finish report,1
708,Research topic,1
709,Update website,0
710,Schedule meeting,0
711,Finish report,1
712,Attend conference,1
713,Write blog post,0
714,Finish report,1
715,Schedule meeting,1
716,Finish report,0
717,Send email,0
718,Send email,0
719,Write blog post,0
720,Update website,1
721,Buy groceries,0
722,Attend conference,0
723,Schedule meeting,0
724,Research topic,0
725,Send email,0
726,Attend conference,0
727,Call client,0
728,Write blog post,0
729,Call client,0
730,Write blog post,0
731,Update website,0
732,Buy groceries,1
733,Call client,1
734,Finish report,1
735,Update website,1
736,Buy groceries,0
737,Update website,0
738,Schedule meeting,0
739,Attend conference,0
740,Send email,1
741,Attend conference,0
742,Update website,1
743,Update website,0
744,Write blog post,1
745,Write blog post,1
746,Call client,0
747,Call client,0
748,Buy groceries,1
749,Buy groceries,1
750,Write blog post,1
751,Buy groceries,1
752,Write blog post,1
753,Write blog post,0
754,Prepare presentation,1
755,Finish report,0
756,Attend conference,0
757,Call client,1
758,Buy groceries,1
759,Attend conference,0
760,Research topic,1
761,Send email,1
762,Buy groceries,0
763,Finish report,0
764,Update website,1
765,Attend conference,1
766,Prepare presentation,0
767,Finish report,1
768,Update website,0
769,Research topic,1
770,Buy groceries,1
771,Prepare presentation,0
772,Update website,1
773,Finish report,1
774,Write blog post,1
775,Send email,1
776,Call client,1
777,Attend conference,1
778,Schedule meeting,1
779,Call client,1
780,Buy groceries,0
781,Update website,1
782,Send email,1
783,Finish report,1
784,Research topic,0
785,Research topic,1
786,Attend conference,0
787,Schedule meeting,1
788,Update website,1
789,Write blog post,0
790,Research topic,0
791,Write blog post,0
792,Buy groceries,1
793,Call client,1
794,Send email,1
795,Prepare presentation,0
796,Buy groceries,1
797,Schedule meeting,1
798,Schedule meeting,1
799,Buy groceries,0
800,Prepare presentation,1
801,Buy groceries,1
802,Call client,1
803,Finish report,0
804,Finish report,0
805,Schedule meeting,0
806,Finish report,1
807,Finish report,0
808,Call client,1
809,Update website,1
810,Finish report,0
811,Buy groceries,0
812,Research topic,0
813,Finish report,0
814,Update website,0
815,Research topic,1
816,Send email,0
817,Schedule meeting,0
818,Send email,0
819,Attend conference,0
820,Write blog post,1
821,Finish report,1
822,Prepare presentation,1
823,Call client,0
824,Schedule meeting,0
825,Write blog post,1
826,Send email,1
827,Write blog post,0
828,Attend conference,1
829,Schedule meeting,1
830,Attend conference,0
831,Schedule meeting,0
832,Buy groceries,0
833,Attend conference,1
834,Finish report,0
835,Buy groceries,1
836,Attend conference,1
837,Research topic,0
838,Prepare presentation,1
839,Update website,0
840,Schedule meeting,1
841,Research topic,0
842,Call client,0
843,Update website,1
844,Call client,1
845,Write blog post,0
846,Call client,1
847,Prepare presentation,0
848,Send email,1
849,Send email,1
850,Finish report,1
851,Send email,1
852,Prepare presentation,1
853,Write blog post,1
854,Buy groceries,0
855,Schedule meeting,0
856,Attend conference,0
857,Buy groceries,1
858,Send email,1
859,Attend conference,1
860,Finish report,0
861,Research topic,1
862,Finish report,1
863,Research topic,1
864,Send email,0
865,Finish report,1
866,Schedule meeting,1
867,Prepare presentation,1
868,Update website,0
869,Attend conference,0
870,Call client,1
871,Write blog post,1
872,Prepare presentation,1
873,Send email,0
874,Write blog post,1
875,Write blog post,0
876,Schedule meeting,0
877,Schedule meeting,0
878,Attend conference,1
879,Research topic,0
880,Finish report,1
881,Prepare presentation,1
882,Prepare presentation,1
883,Schedule meeting,1
884,Attend conference,1
885,Write blog post,1
886,Buy groceries,0
887,Buy groceries,0
888,Schedule meeting,1
889,Attend conference,0
890,Call client,0
891,Call client,1
892,Attend conference,0
893,Buy groceries,1
894,Attend conference,0
895,Call client,1
896,Update website,1
897,Write blog post,1
898,Buy groceries,1
899,Send email,0
900,Call client,0
901,Write blog post,1
902,Call client,1
903,Schedule meeting,1
904,Send email,0
905,Call client,0
906,Attend conference,1
907,Write blog post,0
908,Buy groceries,0
909,Call client,1
910,Buy groceries,0
911,Send email,1
912,Finish report,1
913,Attend conference,1
914,Finish report,0
915,Buy groceries,1
916,Prepare presentation,0
917,Update website,1
918,Research topic,1
919,Buy groceries,0
920,Write blog post,0
921,Schedule meeting,0
922,Write blog post,1
923,Update website,0
924,Research topic,1
925,Buy groceries,0
926,Research topic,0
927,Research topic,1
928,Attend conference,0
929,Buy groceries,0
930,Update website,0
931,Prepare presentation,1
932,Buy groceries,0
933,Call client,1
934,Write blog post,0
935,Send email,1
936,Prepare presentation,1
937,Buy groceries,1
938,Prepare presentation,0
939,Finish report,0
940,Schedule meeting,0
941,Buy groceries,0
942,Attend conference,1
943,Send email,1
944,Call client,1
945,Update website,0
946,Write blog post,1
947,Schedule meeting,1
948,Call client,0
949,Write blog post,1
950,Prepare presentation,1
951,Write blog post,1
952,Buy groceries,0
953,Attend conference,1
954,Prepare presentation,0
955,Prepare presentation,0
956,Schedule meeting,0
957,Call client,0
958,Write blog post,1
959,Call client,0
960,Research topic,1
961,Send email,0
962,Attend conference,0
963,Send email,0
964,Prepare presentation,1
965,Finish report,1
966,Prepare presentation,0
967,Write blog post,1
968,Schedule meeting,1
969,Buy groceries,0
970,Research topic,0
971,Send email,1
972,Send email,0
973,Update website,1
974,Attend conference,0
975,Buy groceries,0
976,Update website,1
977,Schedule meeting,0
978,Research topic,0
979,Write blog post,1
980,Finish report,1
981,Attend conference,1
982,Call client,1
983,Send email,0
984,Send email,0
985,Schedule meeting,0
986,Write blog post,1
987,Prepare presentation,0
988,Call client,1
989,Update website,1
990,Schedule meeting,1
991,Schedule meeting,1
992,Finish report,0
993,Call client,1
994,Update website,0
995,Buy groceries,0
996,Research topic,0
997,Prepare presentation,0
998,Write blog post,1
999,Finish report,1
1000,Buy groceries,0
